SAVVY — Master Roofing Task Lifecycle,,,,,,,,,,
212 tasks across 15 phases · 4 job types · Automation levels & difficulty ratings,,,,,,,,,,
,,,,,,,,,,
#,Task,Phase,Job Type,Automation Level,What Gets Automated,Trigger,Owner,Savvy Agent,Difficulty (1-10),
42,Inspection report generation,Inspection,All,Full Auto,Auto-generates branded report from photos and checklist data,Inspection complete,System,Claims Agent,6,
43,Homeowner inspection walkthrough,Inspection,All,Manual,Rep shows damage and explains process,At property,Sales Rep,N/A,2,
44,Contract / authorization signing,Inspection,All,Partial Auto,DocuSign/digital signature with auto-populated fields,Homeowner agrees,Sales Rep,Orchestrator,3,
45,Insurance claim filing assistance,Inspection,Insurance,Partial Auto,Pre-fills claim form with inspection data,Contract signed,Claims Rep,Claims Agent,5,
46,Post-inspection follow-up (no sign),Inspection,All,Full Auto,Drip sequence with inspection report and urgency messaging,Left without signing,System,Comms Agent,3,
47,Inspection data sync to CRM,Inspection,All,Full Auto,All inspection data flows into job record automatically,Inspection complete,System,Orchestrator,3,
48,Property access notes & gate codes,Inspection,All,Full Auto,"Captured in CRM, shared with crew at production",Inspection,Inspector,Orchestrator,2,
ESTIMATING,,,,,,,,,,
49,Measurement report review & import,Estimating,All,Full Auto,EagleView/Roofr data parsed into estimate template,Report received,System,Claims Agent,5,
50,Material takeoff calculation,Estimating,All,Full Auto,"Auto-calculates shingles, underlayment, flashing, nails, etc.",Measurements imported,System,Claims Agent,6,
51,Labor cost estimation,Estimating,All,Partial Auto,"Calculates based on roof complexity, pitch, access, layers",Takeoff complete,Estimator,Finance Agent,5,
52,Xactimate estimate creation,Estimating,Insurance,Partial Auto,Auto-generates Xactimate line items from inspection data,Insurance job,Estimator,Claims Agent,8,
53,Retail pricing proposal generation,Estimating,Retail,Full Auto,Branded multi-tier proposal (good/better/best),Estimate complete,System,Finance Agent,5,
54,Upsell option packaging,Estimating,All,Partial Auto,"Auto-generates upgrade options: shingle tier, ventilation, etc.",Base estimate done,System,Finance Agent,4,
55,Commercial bid document preparation,Estimating,Commercial,Partial Auto,"Formal bid with scope, timeline, bonding, insurance certs",Bid requested,Estimator,Finance Agent,7,
56,Estimate delivery & presentation,Estimating,All,Partial Auto,Sends branded PDF with interactive pricing options,Estimate approved,Sales Rep,Comms Agent,3,
57,Estimate follow-up sequence,Estimating,All,Full Auto,"Auto-follows up at 2, 5, 10 days with urgency framing",Estimate sent,System,Comms Agent,3,
58,Price matching / negotiation tracking,Estimating,Retail,Partial Auto,"Logs competitor quotes, discount approvals, margin impact",Price objection,Sales Rep,Finance Agent,4,
59,Financing option presentation,Estimating,Retail,Partial Auto,Auto-generates payment plan options from financing partners,Retail estimate,Sales Rep,Finance Agent,5,
60,Financing application submission,Estimating,Retail,Partial Auto,"Submits to GreenSky/EnerBank, tracks approval status",Customer applies,Sales Rep,Finance Agent,5,
61,Estimate revision tracking,Estimating,All,Full Auto,Version control on estimates with change log,Estimate revised,System,Orchestrator,3,
62,Gross margin calculation per job,Estimating,All,Full Auto,Auto-calculates margin based on estimate vs. cost,Estimate created,System,Finance Agent,4,
63,Scope of work document generation,Estimating,All,Full Auto,Auto-generates detailed SOW from estimate line items,Estimate approved,System,Claims Agent,4,
64,Estimate approval workflow,Estimating,All,Partial Auto,Manager approval required above threshold,High-value estimate,Manager,Orchestrator,3,
INSURANCE CLAIM MANAGEMENT,,,,,,,,,,
65,Claim filing & submission,Insurance Claim Management,Insurance,Partial Auto,"Pre-fills claim form, attaches documentation",Contract signed,Claims Rep,Claims Agent,5,
66,Adjuster meeting scheduling,Insurance Claim Management,Insurance,Partial Auto,"Coordinates between adjuster, rep, and homeowner",Claim filed,Claims Rep,Scheduling Agent,4,
67,Adjuster meeting preparation,Insurance Claim Management,Insurance,Partial Auto,"Assembles inspection report, photos, measurements for meeting",Meeting scheduled,Claims Rep,Claims Agent,4,
68,Adjuster meeting attendance & documentation,Insurance Claim Management,Insurance,Manual,"Rep meets adjuster on-site, documents findings",Meeting day,Claims Rep,N/A,3,
69,Insurance scope of work review,Insurance Claim Management,Insurance,Partial Auto,"Parses insurance estimate, flags discrepancies vs. company scope",Scope received,Claims Rep,Claims Agent,7,
70,Supplement identification,Insurance Claim Management,Insurance,Partial Auto,"AI compares approved scope vs. actual needs, flags gaps",Scope reviewed,Claims Rep,Claims Agent,8,
71,Supplement documentation & submission,Insurance Claim Management,Insurance,Partial Auto,"Generates supplement with photos, code references, Xactimate lines",Supplement identified,Claims Rep,Claims Agent,8,
72,Supplement negotiation tracking,Insurance Claim Management,Insurance,Partial Auto,"Logs negotiation history, adjuster responses, outcomes",Supplement submitted,Claims Rep,Claims Agent,5,
73,Supplement approval notification,Insurance Claim Management,Insurance,Full Auto,Alerts team and homeowner when supplement approved,Supplement approved,System,Comms Agent,2,
74,Depreciation recovery tracking,Insurance Claim Management,Insurance,Full Auto,Tracks recoverable depreciation amounts and deadlines,Claim approved,System,Finance Agent,5,
75,Insurance check receipt logging,Insurance Claim Management,Insurance,Partial Auto,"Scans check, logs amount, matches to claim",Check received,Admin,Finance Agent,4,
76,Mortgage company endorsement tracking,Insurance Claim Management,Insurance,Full Auto,"Tracks checks sent to mortgage co., follow-up on release",Check requires endorsement,System,Finance Agent,5,
77,ACV vs. RCV tracking,Insurance Claim Management,Insurance,Full Auto,Tracks actual cash value vs. replacement cost throughout claim,Claim created,System,Finance Agent,4,
78,Deductible tracking & collection,Insurance Claim Management,Insurance,Partial Auto,"Calculates deductible, generates invoice, tracks payment",Job approved,Admin,Finance Agent,3,
79,Insurance deadline monitoring,Insurance Claim Management,Insurance,Full Auto,"Alerts on supplement deadlines, depreciation recovery windows",Claim created,System,Claims Agent,4,
80,Carrier communication log,Insurance Claim Management,Insurance,Partial Auto,"Logs all carrier calls, emails, faxes with timestamps",Any carrier contact,Claims Rep,Claims Agent,3,
81,Public adjuster coordination,Insurance Claim Management,Insurance,Partial Auto,"Manages PA assignments, fee tracking, scope collaboration",PA engaged,Claims Rep,Claims Agent,5,
82,Appraisal / umpire process management,Insurance Claim Management,Insurance,Partial Auto,"Tracks escalation timeline, documents, outcomes",Dispute escalated,Claims Rep,Claims Agent,6,
83,Code upgrade documentation,Insurance Claim Management,Insurance,Partial Auto,Documents required code upgrades with local building codes,Scope review,Estimator,Claims Agent,6,
84,O&P (overhead & profit) tracking,Insurance Claim Management,Insurance,Full Auto,Tracks O&P inclusion/exclusion per carrier per claim,Estimate created,System,Finance Agent,4,
PRE-PRODUCTION,,,,,,,,,,
85,Construction meeting scheduling,Pre-Production,All,Full Auto,Auto-schedules post-approval meeting with homeowner,Job approved,System,Scheduling Agent,3,
86,Construction meeting — color selection,Pre-Production,All,Partial Auto,"Digital color selector with visualizer, saves selections",Construction meeting,Sales Rep,Orchestrator,4,
87,Construction meeting — upsell presentation,Pre-Production,All,Partial Auto,Auto-generates upsell options based on property and scope,Construction meeting,Sales Rep,Finance Agent,4,
88,Construction meeting — scope review with homeowner,Pre-Production,All,Manual,"Reviews approved scope, sets expectations",Construction meeting,Sales Rep,N/A,2,
89,Construction contract signing,Pre-Production,All,Partial Auto,DocuSign with auto-populated contract from CRM data,Meeting complete,Sales Rep,Orchestrator,3,
90,Material order — shingles,Pre-Production,All,Partial Auto,"Auto-generates order from takeoff, rep confirms quantities",Contract signed,Production Mgr,Scheduling Agent,4,
91,Material order — underlayment & accessories,Pre-Production,All,Partial Auto,"Auto-orders ice/water, synthetic, drip edge, pipe boots",Contract signed,Production Mgr,Scheduling Agent,4,
92,Material order — flat roof materials,Pre-Production,Insurance,Partial Auto,"Mod bit, adhesive, primer ordered per spec",Flat roof in scope,Production Mgr,Scheduling Agent,5,
93,Material delivery scheduling,Pre-Production,All,Partial Auto,Coordinates delivery window with supplier and homeowner,Order placed,Production Mgr,Scheduling Agent,4,
94,Material delivery confirmation,Pre-Production,All,Full Auto,"Supplier confirms delivery, system updates job status",Delivery scheduled,System,Scheduling Agent,3,
95,Dumpster / debris container order,Pre-Production,All,Full Auto,Auto-orders based on roof size and layer count,Job scheduled,System,Scheduling Agent,3,
96,Permit application,Pre-Production,All,Partial Auto,Pre-fills permit app with property and scope data,Job approved,Admin,Orchestrator,5,
97,HOA approval submission,Pre-Production,All,Partial Auto,Submits color selections and scope to HOA,Colors selected,Admin,Comms Agent,4,
98,Crew assignment,Pre-Production,All,Partial Auto,"Matches crew based on job type, size, location, availability",Job approved,Production Mgr,Scheduling Agent,5,
99,Production calendar scheduling,Pre-Production,All,Partial Auto,"Schedules install date considering weather, crew, materials",Crew assigned,Production Mgr,Scheduling Agent,6,
100,Weather monitoring for scheduled jobs,Pre-Production,All,Full Auto,Alerts if rain/wind forecasted for install date,Job scheduled,System,Scheduling Agent,4,
101,Pre-production homeowner notification,Pre-Production,All,Full Auto,"SMS/email with date, crew info, what to expect",48h before install,System,Comms Agent,2,
102,Neighbor notification,Pre-Production,All,Full Auto,Auto-sends courtesy notice to adjacent properties,48h before install,System,Comms Agent,3,
103,Subcontractor agreement / COI verification,Pre-Production,All,Partial Auto,"Checks COI expiration, auto-requests renewal if needed",Crew assigned,Admin,Orchestrator,4,
104,Wood / decking cost pre-authorization,Pre-Production,All,Partial Auto,"Estimates potential wood replacement, gets homeowner approval",Pre-production,Sales Rep,Finance Agent,4,
PRODUCTION,,,,,,,,,,
105,Day-of crew dispatch notification,Production,All,Full Auto,"Sends crew address, gate codes, scope details, contact info",Install morning,System,Scheduling Agent,3,
106,Homeowner day-of notification,Production,All,Full Auto,"SMS with crew ETA, foreman name, contact number",Crew dispatched,System,Comms Agent,2,
107,Job start confirmation (check-in),Production,All,Full Auto,"Crew GPS check-in at property, system logs start time",Crew arrives,Foreman,Scheduling Agent,3,
108,Tear-off documentation,Production,All,Partial Auto,"Photos of tear-off showing deck condition, damage",Tear-off begins,Foreman,Orchestrator,3,
109,Wood damage discovery & documentation,Production,All,Partial Auto,Photos of rotted decking/rafters with measurements,During tear-off,Foreman,Claims Agent,4,
110,Wood replacement approval workflow,Production,All,Partial Auto,"Sends photos to homeowner/office, gets approval, logs cost",Wood damage found,Foreman,Finance Agent,4,
111,Progress photo documentation,Production,All,Partial Auto,"CompanyCam photos at each stage: tear-off, deck, underlayment, install",Each stage,Foreman,Orchestrator,3,
112,Material usage tracking,Production,All,Partial Auto,"Logs actual materials used vs. ordered, tracks waste",During install,Foreman,Finance Agent,4,
113,Mid-day progress update to homeowner,Production,All,Full Auto,Auto-sends progress photos and status at midday,Noon,System,Comms Agent,3,
114,Weather delay management,Production,All,Partial Auto,"Tarp protocol, reschedule workflow, customer notification",Weather event,Production Mgr,Scheduling Agent,5,
115,Safety compliance documentation,Production,All,Partial Auto,"Logs OSHA compliance: harnesses, ladder safety, signage",Job start,Foreman,Orchestrator,4,
116,End-of-day job status update,Production,All,Full Auto,"Auto-logs completion percentage, photos, notes from foreman",End of day,System,Orchestrator,3,
117,Multi-day job overnight security protocol,Production,All,Partial Auto,"Tarp verification photos, material security notes",Multi-day job,Foreman,Orchestrator,3,
118,Change order processing,Production,All,Partial Auto,"Captures scope changes, reprices, gets homeowner approval",Scope change needed,Production Mgr,Finance Agent,5,
119,Debris cleanup documentation,Production,All,Partial Auto,"Before/after photos of cleanup, magnetic sweep",Job complete,Foreman,Orchestrator,2,
120,Final walkthrough with homeowner,Production,All,Manual,In-person review of completed work,Job complete,Foreman,N/A,2,
121,Punch list creation & tracking,Production,All,Partial Auto,"Logs any items needing correction, assigns crew, tracks completion",Walkthrough,Production Mgr,Scheduling Agent,4,
122,Job completion sign-off,Production,All,Partial Auto,Digital signature from homeowner confirming satisfaction,Walkthrough approved,Foreman,Orchestrator,2,
123,Completion photos — final documentation,Production,All,Partial Auto,Full set of completion photos from all angles,Job complete,Foreman,Orchestrator,2,
124,Crew job checkout (GPS departure),Production,All,Full Auto,GPS checkout logs departure time and hours worked,Crew leaves,System,Scheduling Agent,2,
CLOSE-OUT,,,,,,,,,,
125,Final inspection scheduling (if required),Close-Out,All,Partial Auto,"Schedules city inspection, notifies homeowner",Job complete,Admin,Scheduling Agent,3,
126,City/county inspection coordination,Close-Out,All,Partial Auto,"Tracks inspector availability, submits for inspection",Permit required,Admin,Scheduling Agent,4,
127,Permit closure,Close-Out,All,Partial Auto,Submits completion docs to close open permit,Inspection passed,Admin,Orchestrator,3,
128,Certificate of completion generation,Close-Out,All,Full Auto,Auto-generates branded certificate with job details,Job complete,System,Orchestrator,2,
129,Final project photos package,Close-Out,All,Full Auto,Compiles all photos into branded before/after package,Job complete,System,Orchestrator,3,
130,Lien waiver generation & sending,Close-Out,All,Full Auto,"Auto-generates lien waiver, sends via DocuSign",Final payment received,System,Finance Agent,3,
131,Completion notification to insurance carrier,Close-Out,Insurance,Full Auto,Notifies carrier that work is complete per approved scope,Job complete,System,Claims Agent,3,
132,Final supplement submission (if applicable),Close-Out,Insurance,Partial Auto,Submits any remaining line items discovered during production,Job complete,Claims Rep,Claims Agent,6,
133,Job cost reconciliation,Close-Out,All,Full Auto,"Compares estimated vs. actual costs — materials, labor, subs",Job complete,System,Finance Agent,5,
134,Profit margin analysis per job,Close-Out,All,Full Auto,Calculates final gross margin and flags outliers,Costs reconciled,System,Finance Agent,4,
135,Homeowner satisfaction survey,Close-Out,All,Full Auto,Auto-sends survey 3 days post-completion,3 days post-complete,System,Comms Agent,2,
136,Thank you / gift delivery trigger,Close-Out,All,Full Auto,Triggers gift card or branded item for completed jobs,Survey completed,System,Comms Agent,3,
137,Job file completeness audit,Close-Out,All,Full Auto,"Checks all required docs, photos, signatures are present",Job complete,System,Orchestrator,4,
138,CRM job status → closed,Close-Out,All,Full Auto,Updates all systems to closed status,All items complete,System,Orchestrator,2,
BILLING & COLLECTIONS,,,,,,,,,,
139,Invoice generation,Billing & Collections,All,Full Auto,Auto-generates invoice from approved estimate/contract,Job complete,System,Finance Agent,3,
140,Invoice delivery (email/text),Billing & Collections,All,Full Auto,Sends invoice via preferred channel with payment link,Invoice created,System,Finance Agent,2,
141,Payment processing — credit card,Billing & Collections,All,Full Auto,Processes CC payment through integrated gateway,Payment initiated,System,Finance Agent,3,
142,Payment processing — check,Billing & Collections,All,Partial Auto,"Logs check receipt, deposits, matches to invoice",Check received,Admin,Finance Agent,3,
143,Payment processing — financing,Billing & Collections,Retail,Partial Auto,Coordinates disbursement from financing company,Financing approved,Admin,Finance Agent,4,
144,Insurance check processing & deposit,Billing & Collections,Insurance,Partial Auto,"Scans check, logs, deposits, updates claim financial record",Check received,Admin,Finance Agent,4,
145,Collections — 30-day past due,Billing & Collections,All,Full Auto,Auto-sends reminder with balance and payment link,30 days past due,System,Comms Agent,2,
146,Collections — 60-day past due,Billing & Collections,All,Partial Auto,Escalated notice with phone follow-up from office,60 days past due,Admin,Comms Agent,3,
147,Collections — 90-day past due,Billing & Collections,All,Partial Auto,Final notice before lien/legal action,90 days past due,Admin,Finance Agent,4,
148,Mechanics lien filing,Billing & Collections,All,Partial Auto,Pre-fills lien documents with job and property data,90+ days past due,Admin,Finance Agent,6,
149,Depreciation recovery invoicing,Billing & Collections,Insurance,Full Auto,Generates invoice for recoverable depreciation amount,Job complete,System,Finance Agent,4,
150,QuickBooks sync — invoices & payments,Billing & Collections,All,Full Auto,Bi-directional sync of invoices and payments,Any financial event,System,Finance Agent,5,
151,Sales commission calculation,Billing & Collections,All,Full Auto,Calculates commission based on job margin and rep tier,Payment received,System,Finance Agent,4,
152,Accounts receivable aging report,Billing & Collections,All,Full Auto,Auto-generates AR aging dashboard weekly,Weekly trigger,System,Finance Agent,3,
REVIEWS & REPUTATION,,,,,,,,,,
153,Google review request,Reviews & Reputation,All,Full Auto,Auto-sends review link 5 days post-completion,5 days post-complete,System,Comms Agent,2,
154,Review response management,Reviews & Reputation,All,Partial Auto,"AI drafts response, human approves for positive and negative",Review posted,Manager,Comms Agent,4,
155,Negative review alert & escalation,Reviews & Reputation,All,Full Auto,Immediately alerts manager on 1-3 star reviews,Negative review,System,Comms Agent,2,
156,Review aggregation dashboard,Reviews & Reputation,All,Full Auto,"Consolidates Google, Yelp, BBB, Facebook reviews",Daily sync,System,Comms Agent,4,
157,Testimonial collection & permission,Reviews & Reputation,All,Full Auto,Auto-requests testimonial with media release after 5-star review,5-star review,System,Comms Agent,3,
158,Before/after portfolio generation,Reviews & Reputation,All,Full Auto,Auto-creates social-ready before/after from job photos,Job complete,System,Comms Agent,4,
159,Case study creation,Reviews & Reputation,All,Partial Auto,"AI drafts case study from job data, human edits",Notable job complete,Marketing,Comms Agent,5,
160,BBB complaint response,Reviews & Reputation,All,Partial Auto,"Alerts on complaint, drafts response, tracks resolution",BBB complaint,Manager,Comms Agent,4,
161,Social proof content generation,Reviews & Reputation,All,Full Auto,Auto-creates review highlight graphics for social,New 5-star review,System,Comms Agent,3,
162,Net Promoter Score tracking,Reviews & Reputation,All,Full Auto,Calculates rolling NPS from survey data,Survey responses,System,Orchestrator,3,
REFERRALS & RETENTION,,,,,,,,,,
163,Referral program enrollment,Referrals & Retention,All,Full Auto,Auto-enrolls happy customers in referral program,Positive survey/review,System,Comms Agent,3,
164,Referral reward tracking & payout,Referrals & Retention,All,Full Auto,"Tracks referral conversions, triggers reward payment",Referral converts,System,Finance Agent,4,
165,Annual roof health check reminder,Referrals & Retention,All,Full Auto,Auto-sends annual inspection offer on job anniversary,Annual trigger,System,Comms Agent,2,
166,Post-storm check-in (past customers),Referrals & Retention,All,Full Auto,Auto-texts past customers in storm-affected areas,Storm in area,System,Comms Agent,3,
167,Holiday/seasonal greetings,Referrals & Retention,All,Full Auto,Branded seasonal messages to customer database,Calendar trigger,System,Comms Agent,2,
168,Customer anniversary recognition,Referrals & Retention,All,Full Auto,Sends anniversary note on job completion date,Annual trigger,System,Comms Agent,2,
169,Cross-sell opportunity identification,Referrals & Retention,All,Partial Auto,"Identifies past customers needing gutters, siding, paint",Data analysis,System,Orchestrator,5,
170,Home sale trigger monitoring,Referrals & Retention,All,Full Auto,Monitors property sales to reach new homeowner,Property sold,System,Orchestrator,6,
171,Maintenance agreement enrollment,Referrals & Retention,Commercial,Partial Auto,Offers annual maintenance plan post-completion,Commercial job done,Sales Rep,Comms Agent,4,
172,Customer lifetime value calculation,Referrals & Retention,All,Full Auto,Tracks total revenue per customer across all jobs,Any transaction,System,Finance Agent,4,
SCHEDULING & CREW MANAGEMENT,,,,,,,,,,
173,Master production calendar management,Scheduling & Crew Management,All,Partial Auto,"Visual calendar with drag-drop, auto-conflict detection",Ongoing,Production Mgr,Scheduling Agent,6,
174,Crew availability tracking,Scheduling & Crew Management,All,Partial Auto,"Crews update availability, system tracks PTO/conflicts",Ongoing,Foreman,Scheduling Agent,4,
175,Weather-based schedule adjustment,Scheduling & Crew Management,All,Full Auto,Auto-reschedules jobs based on weather forecast,Bad weather forecast,System,Scheduling Agent,5,
176,Crew performance scoring,Scheduling & Crew Management,All,Full Auto,"Tracks speed, quality, callbacks per crew",Job complete,System,Orchestrator,5,
177,Daily crew dispatch sheet generation,Scheduling & Crew Management,All,Full Auto,"Auto-generates daily sheet with jobs, addresses, scopes",Night before,System,Scheduling Agent,3,
178,Crew time tracking & payroll data,Scheduling & Crew Management,All,Full Auto,GPS-based time tracking feeds payroll system,Check-in/checkout,System,Finance Agent,4,
179,Subcontractor scheduling coordination,Scheduling & Crew Management,All,Partial Auto,Coordinates sub availability with production calendar,Sub needed,Production Mgr,Scheduling Agent,4,
180,Emergency job prioritization,Scheduling & Crew Management,Repair,Partial Auto,"Flags emergency repairs, bumps schedule, notifies affected",Emergency tagged,Production Mgr,Scheduling Agent,5,
181,Inspection schedule management,Scheduling & Crew Management,All,Partial Auto,Manages inspector calendars with territory optimization,Ongoing,Sales Mgr,Scheduling Agent,4,
182,Multi-job resource allocation,Scheduling & Crew Management,All,Partial Auto,Optimizes crew/equipment across concurrent jobs,Schedule conflict,Production Mgr,Scheduling Agent,7,
183,Equipment tracking & maintenance,Scheduling & Crew Management,All,Partial Auto,"Tracks equipment assignment, maintenance schedules",Ongoing,Production Mgr,Orchestrator,4,
184,Vehicle fleet management,Scheduling & Crew Management,All,Partial Auto,"GPS tracking, maintenance alerts, fuel logging",Ongoing,Admin,Orchestrator,5,
185,Crew onboarding checklist,Scheduling & Crew Management,All,Partial Auto,"Digital onboarding: COI, W-9, safety training, equipment",New crew added,Admin,Orchestrator,4,
186,Capacity planning & forecasting,Scheduling & Crew Management,All,Full Auto,Projects crew needs based on pipeline and seasonal trends,Weekly analysis,System,Scheduling Agent,7,
WARRANTY MANAGEMENT,,,,,,,,,,
187,Manufacturer warranty registration,Warranty Management,All,Partial Auto,Submits warranty registration to IKO/GAF/Owens Corning,Job complete,Admin,Orchestrator,4,
188,Warranty certificate delivery to homeowner,Warranty Management,All,Full Auto,Sends branded warranty package with all coverage details,Registration confirmed,System,Comms Agent,2,
189,Workmanship warranty issuance,Warranty Management,All,Full Auto,Auto-generates company workmanship warranty document,Job complete,System,Orchestrator,2,
190,Warranty claim intake,Warranty Management,All,Partial Auto,"Customer reports issue, system creates warranty ticket",Customer report,Admin,Claims Agent,3,
191,Warranty inspection scheduling,Warranty Management,All,Full Auto,Auto-schedules warranty inspection within SLA window,Claim created,System,Scheduling Agent,3,
192,Warranty repair execution tracking,Warranty Management,All,Partial Auto,Tracks repair from assignment to completion,Inspection complete,Production Mgr,Scheduling Agent,4,
193,Warranty cost tracking (labor & material),Warranty Management,All,Full Auto,Logs all warranty costs per job for trending analysis,Warranty repair done,System,Finance Agent,4,
194,Warranty expiration reminders,Warranty Management,All,Full Auto,Notifies homeowner before workmanship warranty expires,30 days before expiry,System,Comms Agent,2,
195,Manufacturer warranty claim submission,Warranty Management,All,Partial Auto,Files claim with manufacturer for defective materials,Material defect found,Admin,Claims Agent,5,
